Number	Name	age.from	age.to	system
#157	Стохастическое повреждение ДНК	10	15	immune
#1647	Экзогенные химические и физические факторы	10	15	unknown
#1690	Недорепликация ДНК при нормальной пролиферации клеток	10	15	unknown
#21	Негомологичная рекомбинация хромосом	15	25	intersystem
#71	Накопление денатурированных белков	15	25	intersystem
#159	Образование малонового альдегида	15	85	metabolism
#223	Сверхактивация протоонкогенов	15	25	immune
#253	Потеря белков, покрывающих теломеры (TRF2)	15	25	intersystem
#270	Нарушение структуры хроматина	15	25	immune
#353	Выработка свободных радикалов	15	25	intersystem
#785	Снижение количества активных копий ДНК, кодирующей рибосомальную РНК и белки	15	25	intersystem
#859	Накопление белковых сшивок	15	20	intersystem
#931	Возрастное переключение активности разных субъединиц протеасом	15	25	intersystem
#1586	Рост доли субъединиц протеосом с пониженной активностью	15	25	intersystem
#13	Ухудшение питания клеток	20	40	cell
#19	Накопление сшивок липид-белок	20	30	intersystem
#47	Накопление клеточного мусора в клетках печени	20	30	metabolism
#65	Снижение синтеза белка	20	45	metabolism
#97	Точковые (ядерные) мутации	20	30	intersystem
#175	Снижение секреции IGF-1 (инсулиноподобного фактора роста-1) в гепатоцитах печени	20	30	metabolism
#185	Хромосомные аберрации	20	30	intersystem
#239	Нестабильность генома	20	30	intersystem
#245	Образование сигнала о двухцепочечном разрыве ДНК	20	30	intersystem
#251	Снижение выработки ТТГ (Тиреотропный гормон)	20	35	hormones
#268	Патологическое укорочение теломер	20	30	intersystem
#319	Нарушение функций клетки	20	40	cell
#347	Гипотрофия щитовидной железы	20	40	hormones
#359	Эпигенетические нарушения (сшивки ДНК-белок, деметилирование ДНК)	20	30	intersystem
#363	Накопление нефункциональных белков	20	30	intersystem
#373	Транспозиция мобильных элементов генома	20	30	intersystem
#375	Образование 8-оксо-2’деоксигуанозина в промоторных и энхансерных участках ДНК	20	30	intersystem
#389	Уменьшение числа связей между клетками	20	40	cell
#401	Ухудшение питания тканей	20	50	connective
#427	Сшивки ДНК-ДНК	20	30	intersystem
#433	Негативное изменение конститутивной экспрессии генов	20	30	intersystem
#447	Уменьшение количества (и ухудшение качества) адгезивных рецепторов	20	40	cell
#525	Накопление окисленных белков	20	30	intersystem
#531	Снижение синтеза рибосомальных белков	20	30	intersystem
#539	Накопление нефункциональных белков, входящих в состав антиоксидантных систем	20	30	intersystem
#553	Блокирование репликационной вилки	20	30	intersystem
#555	Мутации мтДНК	20	30	intersystem
#575	Образование алкилированных оснований	20	30	intersystem
#593	Повышение активности АФК	20	30	intersystem
#635	Снижение синтеза рибосомальной РНК	20	30	intersystem
#641	Накопление карбонилированных белков	20	30	intersystem
#665	Снижение синтеза мРНК	20	30	intersystem
#679	Снижение выработки Q10	20	30	metabolism
#727	Начало атрофии ретикулярных клеток тимуса	20	50	cell
#767	Гипотрофия нейроэндокринных узлов (в гипоталамусе и стволе мозга)	20	30	hormones
#781	Снижение экспрессии компонентов репаративных систем	20	30	intersystem
#793	Ухудшение передачи сигнальной информации	20	40	connective
#795	Уменьшение количества информационных молекул	20	40	connective
#825	Образование NUMT-псевдогенов в мтДНК	20	30	intersystem
#839	Снижение активности белков теплового шока	20	30	intersystem
#841	Первичное ухудшение микроциркуляции крови и лимфы	20	60	intersystem
#885	Гипотрофия передней доли гипофиза	20	35	hormones
#889	Потеря Т-петли в теломерах	20	30	intersystem
#891	Разрывы цепей ДНК	20	30	intersystem
#939	Уменьшение проницаемости межклеточного пространства	20	45	cell
#51	Гипотрофия надпочечников	25	35	hormones
#63	Изменение физико-химических свойств мембранного матрикса	25	35	cell
#85	Накопление белковых агрегатов (клеточного мусора)	25	35	intersystem
#147	Накопление нефункциональных белков	25	35	intersystem
#165	Повреждение мембран митохондрий	25	35	cell
#169	Увеличение количества коллагенных волокон (между клеток)	25	35	cell
#276	Уменьшение синтеза С-комплемента	25	35	metabolism
#311	Уплотнение клеточной мемраны	25	35	cell
