FromId	FromName	=>	ToId	ToName
#33	Хронические генерализованные вялотекущие воспаления	=>	#37	Накопление аммилоидных фибрил (бетта-амилоида)
#56	Гипотрофия тканей, вызванная ухудшением общего кровообращения	=>	#133	Уменьшение функциональной активности почек
#197	Анемия	=>	#67	Ухудшение снабжения тканей кислородом
#67	Ухудшение снабжения тканей кислородом	=>	#345	Гипоксия (разной степени)
#1583	Временное адаптивное прекращение пролиферации клеток	=>	#272	Репликативное старение (стойкое прекращение пролиферации клеток)
#833	p53-зависимая необратимая задержка пролиферации клеток	=>	#272	Репликативное старение (стойкое прекращение пролиферации клеток)
#85	Накопление белковых агрегатов (клеточного мусора)	=>	#489	Уменьшение эластичности сосудов
#13	Ухудшение питания клеток	=>	#401	Ухудшение питания тканей
#901	Снижение проницаемости мембраны	=>	#27	Уменьшение функциональной активности клеток
#399	Негативное изменение межклеточного матрикса	=>	#13	Ухудшение питания клеток
#47	Накопление клеточного мусора в клетках печени	=>	#276	Уменьшение синтеза С-комплемента
#131	Инфаркт миокарда	=>	#7	Сердечная недостаточность
#931	Возрастное переключение активности разных субъединиц протеасом	=>	#1586	Рост доли субъединиц протеосом с пониженной активностью
#675	Увеличение уровня Ca в крови	=>	#203	Остеохондроз
#509	Нарушение суточного ритма секреции нейрпептида Y	=>	#687	Постоянное переедание
#177	Увеличение количества амилоидных бляшек	=>	#193	Болезнь Альцгеймера
#411	Подавление секреции паратиреоидного гормона	=>	#535	Снижение синтеза кальцийтриола
#37	Накопление аммилоидных фибрил (бетта-амилоида)	=>	#177	Увеличение количества амилоидных бляшек
#841	Первичное ухудшение микроциркуляции крови и лимфы	=>	#273	Ухудшение микроциркуляции в поджелудочной железе
#307	Переломы	=>	#95	Ограничение подвижности
#529	Снижение ферментной активности в железистых клетках ЖКТ	=>	#61	Увеличение количества непереваренной пищи в ЖКТ
#617	Снижение выработки АТФ (в отдельных клетках)	=>	#407	Устойчивое прекращение пролиферации клеток
#751	Снижение секреции нейротрансмиттеров	=>	#385	Ухудшение когнитивных способностей мозга
#531	Снижение синтеза рибосомальных белков	=>	#453	Снижение количества и качества рибосом
#321	Снижение секреции Дегидроэпиандростерона	=>	#467	Снижение секреции половых гормонов (тестостерон, эстрадиол, прогестерон)
#203	Остеохондроз	=>	#377	Остеопороз
#93	Размножение гладкомышечных клеток	=>	#463	Образование атеросклеротических бляшек
#19	Накопление сшивок липид-белок	=>	#311	Уплотнение клеточной мемраны
#525	Накопление окисленных белков	=>	#147	Накопление нефункциональных белков
#927	Деструкция симпатических окончаний	=>	#751	Снижение секреции нейротрансмиттеров
#33	Хронические генерализованные вялотекущие воспаления	=>	#59	Пневмония
#253	Потеря белков, покрывающих теломеры (TRF2)	=>	#268	Патологическое укорочение теломер
#783	Разрастание гнилостной флоры	=>	#589	Кишечная интоксикация
